,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
0,Áp dụng 2025 Lenovo ThinkBook16+/14+ Bìa bàn phím 16p Rồng Nhọn AI Phiên bản Yuanqi G7+ Miếng dán màn hình,308166,311279,China,m5iy8y,No Brand,11,,https://www.lazada.vn/products/ap-dung-2025-lenovo-thinkbook1614-bia-ban-phim-16p-rong-nhon-ai-phien-ban-yuanqi-g7-mieng-dan-man-hinh-i3033623372.html,['Voucher save 1%'],"[4401, 4414, 9034]"
1,Janod magnetibook 69 PC từ tay đua xe trò chơi lứa tuổi 3-j02715,640357,719503,China,Space commerce home store,No Brand,1,,https://www.lazada.vn/products/janod-magnetibook-69-pc-tu-tay-dua-xe-tro-choi-lua-tuoi-3-j02715-i3032554586.html,['Voucher save 11%'],"[4401, 4414, 9034]"
2,Morandi Laptop A5/b5 Thickened Soft Leather Car Line Student Beautiful Cute Notebook Junior High School Student Special Day 【MAR】,194643,324393,China,ehu314,No Brand,2,,https://www.lazada.vn/products/morandi-laptop-a5b5-thickened-soft-leather-car-line-student-beautiful-cute-notebook-junior-high-school-student-special-day-mar-i3032279041.html,['Voucher save 40%'],"[4401, 4414, 9034]"
3,BG Deli A5 Simpebook Notebook Đơn giản Thực hành Sinh viên Notebook Văn phòng kinh doanh Bán buôn,387321,387321,China,HSRTSSG,No Brand,11,,https://www.lazada.vn/products/bg-deli-a5-simpebook-notebook-don-gian-thuc-hanh-sinh-vien-notebook-van-phong-kinh-doanh-ban-buon-i3032266966.html,[],"[4401, 4414, 9034]"
4,Máy tính xách tay dày máy tính xách tay A5 Nhật ký kinh doanh đơn giản Notepad Bán buôn hai mặt dày siêu dày Soft,344964,344964,China,sfoasebgrth,No Brand,3,,https://www.lazada.vn/products/may-tinh-xach-tay-day-may-tinh-xach-tay-a5-nhat-ky-kinh-doanh-don-gian-notepad-ban-buon-hai-mat-day-sieu-day-soft-i3030961789.html,[],"[4401, 4414, 9034]"
5,NM-B451 Dành cho Laptop Lenovo Ideapad 330-15IKB 320-15IKB 330-17IKB Bo mạch chủ với CPU Core i3 i5-8250U i7-8550U 4GB-RAM,999999,999999,China,ahUEISNE,No Brand,3,,https://www.lazada.vn/products/nm-b451-danh-cho-laptop-lenovo-ideapad-330-15ikb-320-15ikb-330-17ikb-bo-mach-chu-voi-cpu-core-i3-i5-8250u-i7-8550u-4gb-ram-i3030428695.html,[],"[4401, 4414, 9034]"
6,10.1 Inch Windows10 Hệ Thống Internet Di Động Lớp Học Giao Dịch Chứng Khoán Văn Phòng Máy Tính Bảng Hai Trong Một Máy Tính Xách Tay,608461,608461,China,ewjilfzkgj,No Brand,2,,https://www.lazada.vn/products/101-inch-windows10-he-thong-internet-di-dong-lop-hoc-giao-dich-chung-khoan-van-phong-may-tinh-bang-hai-trong-mot-may-tinh-xach-tay-i3029450405.html,[],"[4401, 4414, 9034]"
7,Máy tính xách tay Ebbinghausbook cho Notepad của học sinh trung học cơ sở với sổ ghi chép từ vựng tiếng Anh Hot selling item,191441,191441,China,asfcsdgbvdfndfv,No Brand,3,,https://www.lazada.vn/products/may-tinh-xach-tay-ebbinghausbook-cho-notepad-cua-hoc-sinh-trung-hoc-co-so-voi-so-ghi-chep-tu-vung-tieng-anh-hot-selling-item-i3028503280.html,[],"[4401, 4414, 9034]"
8,"Ba máy tính xách tay đăng ký trong lớp học trẻ em, Notepad Diary Little Girl Super Hand Tài khoản Tài khoản Tài khoản dễ thương discount",338977,338977,China,jvcgtx60wg18,No Brand,4,,https://www.lazada.vn/products/ba-may-tinh-xach-tay-dang-ky-trong-lop-hoc-tre-em-notepad-diary-little-girl-super-hand-tai-khoan-tai-khoan-tai-khoan-de-thuong-discount-i3028453605.html,[],"[4401, 4414, 9034]"
9,thanh lý laptop đã qua sử dụng giá rẻ,1500000,1500000,Vietnam,♥️ Cô Chủ Nhỏ♥️66,No Brand,0,,https://www.lazada.vn/products/thanh-ly-laptop-da-qua-su-dung-gia-re-i3027298030.html,[],"[4401, 4414, 9034]"
