,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
0,Gạo  15.6 Laptop chơi game 10 inch  171502-AA/AO/AD/AB/AM GTX1060 1050  Quạt   Thương Hiệu Mới,569597,599576,China,xiezhisih8f,No Brand,14,,https://www.lazada.vn/products/gao-156-laptop-choi-game-10-inch-171502-aaaoadabam-gtx1060-1050-quat-thuong-hieu-moi-i3034704196.html,['Voucher save 5%'],"[4401, 4414, 6191]"
1,"Bluelounge Pixi, Nhỏ, Đen/Xám",999999,999999,China,Star Trade commodity store,No Brand,0,,https://www.lazada.vn/products/bluelounge-pixi-nho-denxam-i3033539428.html,[],"[4401, 4414, 6191]"
2,"🔥 SIÊU PHẨM WORKSTATION DELL PRECISION 3541 – CHIP i9 GEN 9, HIỆU SUẤT CỰC KHỦNG – GIÁ CHẤN ĐỘNG CHỈ HƠN 10 TRIỆU! 🔥",10300000,10300000,Vietnam,Mtbstore,Dell,0,,https://www.lazada.vn/products/sieu-pham-workstation-dell-precision-3541-chip-i9-gen-9-hieu-suat-cuc-khung-gia-chan-dong-chi-hon-10-trieu-i3029633179.html,[],"[4401, 4414, 6191]"
3,ACER NITRO 5 GAMING AMD RYZEN 5 5600H RAM 16G SSD 512G 15.6INCH 144HZ GTX 1650,10890000,18800000,Vietnam,Laptop Cường Thịnh,ACER,1,,https://www.lazada.vn/products/acer-nitro-5-gaming-amd-ryzen-5-5600h-ram-16g-ssd-512g-156inch-144hz-gtx-1650-i3028332045.html,['Voucher save 42%'],"[4401, 4414, 6191]"
4,DELL VOSTRO 5568 CORE I7 7500U RAM 16G SSD 360G 15.6INCH FHD VGA RỜI ĐÈN PHÍM,6500000,11800000,Vietnam,Laptop Cường Thịnh,Dell,0,,https://www.lazada.vn/products/dell-vostro-5568-core-i7-7500u-ram-16g-ssd-360g-156inch-fhd-vga-roi-den-phim-i3027854024.html,['Voucher save 45%'],"[4401, 4414, 6191]"
5,[HCM] Laptop Asus TUF Gaming A15 FA507R CPU AMD Ryzen 7 6800H/ Ram 16GB/ SDD 512GB/ VGA Nvidia GeForce RTX 3050Ti/ LCD 15.6'' inch,15750000,15750000,Vietnam,Thanh Vinh Center,ASUS,0,,https://www.lazada.vn/products/hcm-laptop-asus-tuf-gaming-a15-fa507r-cpu-amd-ryzen-7-6800h-ram-16gb-sdd-512gb-vga-nvidia-geforce-rtx-3050ti-lcd-156-inch-i3026675820.html,[],"[4401, 4414, 6191]"
6,LENOVO LEGION L340 CORE I5 9300H RAM 16G SSD 512G 15.6INCH FHD GTX 1050,7900000,11800000,Vietnam,Laptop Cường Thịnh,Lenovo,1,,https://www.lazada.vn/products/lenovo-legion-l340-core-i5-9300h-ram-16g-ssd-512g-156inch-fhd-gtx-1050-i3026088491.html,['Voucher save 33%'],"[4401, 4414, 6191]"
7,LAPTOP CŨ GIÁ RẺ DELL E5570 Core i5-6440HQ RAM 8G SSD 128G Màn 15.6 Full HD,3950000,4950000,Vietnam,LAPTOP WANRY,No Brand,0,,https://www.lazada.vn/products/laptop-cu-gia-re-dell-e5570-core-i5-6440hq-ram-8g-ssd-128g-man-156-full-hd-i3025260825.html,['Voucher save 20%'],"[4401, 4414, 6191]"
8,MSI GAMING GF63 CORE I5 9300H RAM 16G SSD 512G 15.6INCH FHD VGA GTX 1050TI,8500000,15500000,Vietnam,Laptop Cường Thịnh,MSI,0,,https://www.lazada.vn/products/msi-gaming-gf63-core-i5-9300h-ram-16g-ssd-512g-156inch-fhd-vga-gtx-1050ti-i3023474950.html,['Voucher save 45%'],"[4401, 4414, 6191]"
9,ASUS TUF GAMING FX505GT CORE I5 9300H RAM 16G SSD 256G+500G 15.6INCH 144HZ GTX 1650,9900000,15500000,Vietnam,Laptop Cường Thịnh,ASUS,0,,https://www.lazada.vn/products/asus-tuf-gaming-fx505gt-core-i5-9300h-ram-16g-ssd-256g500g-156inch-144hz-gtx-1650-i3020621222.html,['Voucher save 36%'],"[4401, 4414, 6191]"
10,ASUS GAMING G531 CORE I5 9300H RAM 16G SSD 256G 15.6INCH 120HZ GTX 1050,8900000,13300000,Vietnam,Laptop Cường Thịnh,ASUS,0,,https://www.lazada.vn/products/asus-gaming-g531-core-i5-9300h-ram-16g-ssd-256g-156inch-120hz-gtx-1050-i3020499800.html,['Voucher save 33%'],"[4401, 4414, 6191]"
11,Laptop Gaming Viamei AOC màn hình 16 inch / Core i7-7850H Ram 16gb Sdd 512gb card đồ hoạ Gtx1050 4gb,10450000,15990000,Vietnam,SHOP CÔNG NGHỆ STARLIGHT,AOC,0,,https://www.lazada.vn/products/laptop-gaming-viamei-aoc-man-hinh-16-inch-core-i7-7850h-ram-16gb-sdd-512gb-card-do-hoa-gtx1050-4gb-i3016493365.html,['Voucher save 35%'],"[4401, 4414, 6191]"
12,HP WORKSTATION 8570W CORE I7 3720QM RAM 16G SSD 256G 15.6INCH FHD VGA K1000M,4350000,8700000,Vietnam,Laptop Cường Thịnh,HP,1,,https://www.lazada.vn/products/hp-workstation-8570w-core-i7-3720qm-ram-16g-ssd-256g-156inch-fhd-vga-k1000m-i3011422500.html,['Voucher save 50%'],"[4401, 4414, 6191]"
13,Laptop Dell Latitude 3440 L3440-I51235U-16G512G (i5-1235U) (Đen) - Bảo hành 12 tháng,13500000,13500000,Vietnam,Techroom Việt Nam,Dell,0,,https://www.lazada.vn/products/laptop-dell-latitude-3440-l3440-i51235u-16g512g-i5-1235u-den-bao-hanh-12-thang-i3011185040.html,[],"[4401, 4414, 6191]"
14,ASUS GAMING FX504 CORE I7 8750H RAM 16G SSD 256G 15.6INCH FHD GTX 1050,8500000,14700000,Vietnam,Laptop Cường Thịnh,ASUS,0,5.0,https://www.lazada.vn/products/asus-gaming-fx504-core-i7-8750h-ram-16g-ssd-256g-156inch-fhd-gtx-1050-i3008857209.html,['Voucher save 42%'],"[4401, 4414, 6191]"
15,DELL GAMING G7 7588 CORE I7 8750H RAM 16G SSD 512G 15.6INCH FHD VGA GTX 1050 TI,8900000,14500000,Vietnam,Laptop Cường Thịnh,Dell,0,,https://www.lazada.vn/products/dell-gaming-g7-7588-core-i7-8750h-ram-16g-ssd-512g-156inch-fhd-vga-gtx-1050-ti-i3008747938.html,['Voucher save 39%'],"[4401, 4414, 6191]"
16,MSI GAMING GV62 CORE I7 7700HQ RAM 16G SSD 512G 15.6INCH FHD GTX 1050,8500000,15500000,Vietnam,Laptop Cường Thịnh,MSI,1,,https://www.lazada.vn/products/msi-gaming-gv62-core-i7-7700hq-ram-16g-ssd-512g-156inch-fhd-gtx-1050-i3007271542.html,['Voucher save 45%'],"[4401, 4414, 6191]"
17,"Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/15.6""F/165Hz/Win11/(NH.QPGSV.004)/Đen",19690000,20490000,Vietnam,thegioididongofficial,ACER,0,,https://www.lazada.vn/products/laptop-acer-nitro-v-15-anv15-41-r2up-r5-6600h16gb512gb4gb-rtx2050156f165hzwin11nhqpgsv004den-i3006733636.html,['Voucher save 4%'],"[4401, 4414, 6191]"
18,ASUS GAMING X571GT I5 9300H RAM 16G SSD 512G 15.6INCH 120HZ GTX 1650,8800000,14400000,Vietnam,Laptop Cường Thịnh,ASUS,1,,https://www.lazada.vn/products/asus-gaming-x571gt-i5-9300h-ram-16g-ssd-512g-156inch-120hz-gtx-1650-i3005276505.html,['Voucher save 39%'],"[4401, 4414, 6191]"
19,HP ZBOOK 17 G2 CORE I7 4810MQ RAM 32G SSD 512G 17.3INCH FHD VGA K3100 4G,5990000,8900000,Vietnam,Laptop Cường Thịnh,HP,0,,https://www.lazada.vn/products/hp-zbook-17-g2-core-i7-4810mq-ram-32g-ssd-512g-173inch-fhd-vga-k3100-4g-i3002962254.html,['Voucher save 33%'],"[4401, 4414, 6191]"
20,"Laptop cũ Dell XPS 7590 i9-9850HK | RAM 32GB | SSD 512GB | GTX 1650 | Màn 15.6in FHD thiết kế mỏng nhẹ, hiệu năng đỉnh cao ổn định đáp ứng tốt nhu cầu văn phòng, học tập, đồ họa",11950000,14000000,Vietnam,LAPTOP GIÁ SỈ HCM,Dell,0,,https://www.lazada.vn/products/laptop-cu-dell-xps-7590-i9-9850hk-ram-32gb-ssd-512gb-gtx-1650-man-156in-fhd-thiet-ke-mong-nhe-hieu-nang-dinh-cao-on-dinh-dap-ung-tot-nhu-cau-van-phong-hoc-tap-do-hoa-i3002858298.html,['Voucher save 15%'],"[4401, 4414, 6191]"
21,ASUS TUF GAMING FX506LHB CORE I5 10300H RAM 16G SSD 512G 15.6INCH 144HZ VGA GTX 1650,11400000,14500000,Vietnam,Laptop Cường Thịnh,ASUS,1,,https://www.lazada.vn/products/asus-tuf-gaming-fx506lhb-core-i5-10300h-ram-16g-ssd-512g-156inch-144hz-vga-gtx-1650-i3002406353.html,['Voucher save 21%'],"[4401, 4414, 6191]"
22,"Laptop Gaming - Lenovo Legion Y520-15IKB - Giá Siêu Êm Cho Anh Em Cần ….

* Core i7 7700HQ / Ram 16G / SSD 256G + HDD 500G / Màn 15.6in FHD IPS / Pin 4-5h / Led Phím Đỏ US / VGA Nvidia Geforce GTX 1050Ti / Sạc Zin / Máy Đẹp Full Chức Năng ….",9000000,9500000,Vietnam,ViTính BảoKỳ,No Brand,0,,https://www.lazada.vn/products/laptop-gaming-lenovo-legion-y520-15ikb-gia-sieu-em-cho-anh-em-can-core-i7-7700hq-ram-16g-ssd-256g-hdd-500g-man-156in-fhd-ips-pin-4-5h-led-phim-do-us-vga-nvidia-geforce-gtx-1050ti-sac-zin-may-dep-full-chuc-nang-i3001816841.html,['Voucher save 5%'],"[4401, 4414, 6191]"
