,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
0,"điện thoại samsum A30 / A30s 4G/ 64G mới căng lên mạng, lượt wed chơi game thả ga",1200000,2400000,Vietnam,KHO BÁCH HÓA QUẢNG NGÃI,Samsung,2,,https://www.lazada.vn/products/dien-thoai-samsum-a30-a30s-4g-64g-moi-cang-len-mang-luot-wed-choi-game-tha-ga-i3035403386.html,['Voucher save 50%'],"[4402, 4518]"
1,Điện Thoại Samsung Galaxy A05s (4GB/128GB) - Hàng chính hãng New Nguyên seal,2950000,3990000,Vietnam,TECHLIVEVN,Samsung,3,,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-a05s-4gb128gb-hang-chinh-hang-new-nguyen-seal-i3034642307.html,['Voucher save 26%'],"[4402, 4518]"
2,Điện Thoại Xiaomi Redmi Note 12 Turbo 5G (12GB - 256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,3599000,5666000,Vietnam,DODIYA MOBILE STORE,Xiaomi,3,,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-12-turbo-5g-12gb-256gb-chinh-hang-100-full-box-nguyen-seal-bao-hanh-18-thang-i3032755209.html,['Voucher save 36%'],"[4402, 4518]"
3,Điện Thoại OPPO A58 (8GB/128GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,2199000,3889000,Vietnam,DODIYA MOBILE STORE,OPPO,2,,https://www.lazada.vn/products/dien-thoai-oppo-a58-8gb128gb-chinh-hang-100-full-box-nguyen-seal-bao-hanh-18-thang-i3032746180.html,['Voucher save 43%'],"[4402, 4518]"
4,Điện thoại Xiaomi POCO C65 6GB/128GB,1999000,2999000,Vietnam,Didongso365.vn,Xiaomi,3,,https://www.lazada.vn/products/dien-thoai-xiaomi-poco-c65-6gb128gb-i3032740434.html,['Voucher save 33%'],"[4402, 4518]"
5,Điện thoại Xiaomi Redmi Note 12 Turbo 8GB/256GB,3399000,4950000,Vietnam,Didongso365.vn,Xiaomi,3,,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-12-turbo-8gb256gb-i3032728312.html,['Voucher save 31%'],"[4402, 4518]"
6,Điện Thoại Motorola Moto S30 Pro 5G (128-256GB) Chính Hãng Like New Mới Đến 89% Bảo Hành 6 Tháng Lỗi 1 Đổi 1 Trong 30 Ngày Do Nhà Sản Xuất,4299000,6999000,Vietnam,DODIYA MOBILE STORE,Motorola,2,,https://www.lazada.vn/products/dien-thoai-motorola-moto-pro-5g-128-256gb-chinh-hang-like-new-moi-den-89-bao-hanh-6-thang-loi-1-doi-1-trong-30-ngay-do-nha-san-xuat-i3032724229.html,['Voucher save 39%'],"[4402, 4518]"
7,Điện Thoại Sony Xperia 5 Mark 2 (8GB-256GB) Chính Hãng 100% Like New Mới Đến 98% Bảo Hành 6 Tháng,2999000,3999000,Vietnam,DODIYA MOBILE STORE,Sony,4,,https://www.lazada.vn/products/dien-thoai-sony-xperia-5-mark-2-8gb-256gb-chinh-hang-100-like-new-moi-den-98-bao-hanh-6-thang-i3032714002.html,['Voucher save 25%'],"[4402, 4518]"
8,Điện thoại Xiaomi POCO C75 (8GB/256GB),2199000,3099000,Vietnam,Didongso365.vn,Xiaomi,3,,https://www.lazada.vn/products/dien-thoai-xiaomi-poco-c75-8gb256gb-i3032683731.html,['Voucher save 29%'],"[4402, 4518]"
9,Điện thoại Xiaomi Redmi Note 13 Pro 5G 8GB/256GB,3790000,5290000,Vietnam,Didongso365.vn,Xiaomi,4,,https://www.lazada.vn/products/dien-thoai-xiaomi-redmi-note-13-pro-5g-8gb256gb-i3032681455.html,['Voucher save 28%'],"[4402, 4518]"
