,name,price,original_price,location,seller_name,brand,num_colors,rating_score,link_item,vouchers,categories
0,Máy đọc sách Bigme Pocketnote 7 7inch hỗ trợ bút ghi chú - Likenew,3890000,3890000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,2,,https://www.lazada.vn/products/may-doc-sach-bigme-pocketnote-7-7inch-ho-tro-but-ghi-chu-likenew-i3036478011.html,[],"[4402, 4519]"
1,"Máy đọc sách màu Boox Nova Air C - Likenew Màn eink màu bảo vệ mắt Tặng kèm ốp chống shock, bút",6750000,6750000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,2,,https://www.lazada.vn/products/may-doc-sach-mau-boox-nova-air-c-likenew-man-eink-mau-bao-ve-mat-tang-kem-op-chong-shock-but-i3036474009.html,[],"[4402, 4519]"
2,Máy đọc sách Boox Leaf 3C (Go 7) có màu - Tặng kèm ốp chống shock - Hàng nhập khẩu,6350000,6350000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,4,,https://www.lazada.vn/products/may-doc-sach-boox-leaf-3c-go-7-co-mau-tang-kem-op-chong-shock-hang-nhap-khau-i3036426189.html,[],"[4402, 4519]"
3,Máy đọc sách Boox Nova 2 - Likenew tặng kèm bút,4090000,4090000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,0,,https://www.lazada.vn/products/may-doc-sach-boox-nova-2-likenew-tang-kem-but-i3036408216.html,[],"[4402, 4519]"
4,Máy đọc sách Bigme B751C Bigme Pocketnote Color 2 - Màn hình màu Kaleido 3 7inch kèm ghi chú,6790000,6790000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,2,,https://www.lazada.vn/products/may-doc-sach-bigme-b751c-bigme-pocketnote-color-2-man-hinh-mau-kaleido-3-7inch-kem-ghi-chu-i3036407229.html,[],"[4402, 4519]"
5,Máy đọc sách Boox Tab 8 Boox Tab Ultra 8inch Boox Tab Mini đen trắng eink bảo vệ mắt - Hàng likenew,6950000,6950000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,2,,https://www.lazada.vn/products/may-doc-sach-boox-tab-8-boox-tab-ultra-8inch-boox-tab-mini-den-trang-eink-bao-ve-mat-hang-likenew-i3036404168.html,[],"[4402, 4519]"
6,"Máy đọc sách Mini Moaan Inkpalm 5 / Inkpalm 5 plus / Inkpalm 5 pro - Tặng ốp, dán màn hình",2750000,2750000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,4,,https://www.lazada.vn/products/may-doc-sach-mini-moaan-inkpalm-5-inkpalm-5-plus-inkpalm-5-pro-tang-op-dan-man-hinh-i3036403252.html,[],"[4402, 4519]"
7,Máy đọc sách Boox Leaf 2 64gb Likenew - Hàng nhập khẩu,4050000,4050000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,4,,https://www.lazada.vn/products/may-doc-sach-boox-leaf-2-64gb-likenew-hang-nhap-khau-i3036391170.html,[],"[4402, 4519]"
8,Máy đọc sách Boox Poke 5 2024 phiên bản mới màn Carta 1300 - Hàng nhập khẩu,3590000,3590000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,4,,https://www.lazada.vn/products/may-doc-sach-boox-poke-5-2024-phien-ban-moi-man-carta-1300-hang-nhap-khau-i3036387191.html,[],"[4402, 4519]"
9,"Máy đọc sách Xiaomi Moaan W8 - 10inch hỗ trợ ghi chú, đèn nền 2 tông màu, likenew",4850000,4850000,Vietnam,Tech Reader - Đọc sách kiểu Hitech,No Brand,0,,https://www.lazada.vn/products/may-doc-sach-xiaomi-moaan-w8-10inch-ho-tro-ghi-chu-den-nen-2-tong-mau-likenew-i3036372188.html,[],"[4402, 4519]"
